exp_id,question_id,question,ground_truth,answer,category,is_correct,uncertainty,token_entropy,semantic_variance,self_eval,combined,decision,should_abstain,quantization,retrieval,method
E1,0,where does the karate kid 2010 take place,China,I don't know. The context provided does not contain information about the location of the Karate Kid (2010) movie.,answerable,False,0.1588065715133022,0.3176131430266044,0.016234556833902996,1.0,0.33987859271961196,abstain,False,fp16,True,Entropy
E1,1,what is the meaning of the harp in ireland,the arms of Ireland,I don't know. The context provided does not contain information about the harp in Ireland.,answerable,False,0.13179294307070405,0.2635858861414081,0.017891526222229004,0.0,0.03530435172525531,abstain,False,fp16,True,Entropy
E1,2,who has the most catches in nfl history,Jerry Rice,I don't know. The given context does not provide information about the NFL or football statistics.,answerable,False,0.17834490255531169,0.35668980511062337,0.012743115425109863,1.0,0.34204053822361724,abstain,False,fp16,True,Entropy
E1,3,what breed of dog is the teddy bear dog,Zuchon,I don't know. The context provided does not include information about dog breeds.,answerable,False,0.1479474848313801,0.2958949696627602,0.11246611674626668,1.0,0.38582255533940935,abstain,False,fp16,True,Entropy
E1,4,what is the poorest county in the state of florida,Union,I don't know. The context provided does not contain information about the state of Florida or its counties.,answerable,False,0.17281479525563745,0.3456295905112749,0.12395209074020386,1.0,0.3965390044212294,abstain,False,fp16,True,Entropy
E1,5,when was the last amendment to the constitution passed,"May 5, 1992",I don't know. The context provided does not contain information about the constitution or its amendments.,answerable,False,0.2019662613658669,0.4039325227317338,0.04795374472935995,1.0,0.36437012463785334,abstain,False,fp16,True,Entropy
E1,6,when do you declare honors in contract bridge,any time after the auction,I don't know. The provided context does not contain information about contract bridge or declaring honors in contract bridge.,answerable,False,0.17790762321274436,0.35581524642548873,0.24468485514322916,1.0,0.45792395221416343,abstain,False,fp16,True,Entropy
E1,7,who was the president of pakistan during 1971 war,President Yahya Khan,I don't know. The provided context does not contain information about the president of Pakistan during the 1971 war.,answerable,False,0.09325356757484014,0.1865071351496803,0.003061691919962565,1.0,0.3201815594749493,abstain,False,fp16,True,Entropy
E1,8,the grand tour season 2 episode 2 celebrity guests,Brian Wilson,"I don't know. The context provided does not include information about celebrity guests in ""The Grand Tour Season 2 Episode 2"".",answerable,False,0.1704856098841977,0.3409712197683954,0.04326413075129191,1.0,0.3557291873524855,abstain,False,fp16,True,Entropy
E1,9,when was harry potter and the philosophers stone published,in 1997,I don't know. The provided context does not contain information about Harry Potter or its publication date.,answerable,False,0.1586839241701514,0.3173678483403028,0.029835224151611328,1.0,0.3466543969098359,abstain,False,fp16,True,Entropy
E2,0,where does the karate kid 2010 take place,China,I don't know. The context provided does not contain information about the location of the Karate Kid (2010) movie.,answerable,False,0.08256785074869792,0.3176131430266044,0.08256785074869792,1.0,0.3730452396770094,abstain,False,fp16,True,SemanticVar
E2,1,what is the meaning of the harp in ireland,the arms of Ireland,I don't know. The context provided does not contain information about the harp in Ireland.,answerable,False,0.03918830553690592,0.2635858861414081,0.03918830553690592,0.0,0.04595274138259377,abstain,False,fp16,True,SemanticVar
E2,2,who has the most catches in nfl history,Jerry Rice,I don't know. The given context does not provide information about the NFL or football statistics.,answerable,False,0.08761123816172282,0.35668980511062337,0.08761123816172282,1.0,0.37947459959192376,abstain,False,fp16,True,SemanticVar
E2,3,what breed of dog is the teddy bear dog,Zuchon,I don't know. The context provided does not include information about dog breeds.,answerable,False,0.10415844122568767,0.2958949696627602,0.10415844122568767,1.0,0.38166871757911985,abstain,False,fp16,True,SemanticVar
E2,4,what is the poorest county in the state of florida,Union,I don't know. The context provided does not contain information about the state of Florida or its counties.,answerable,False,0.051019628842671715,0.3456295905112749,0.051019628842671715,1.0,0.36007277347246336,abstain,False,fp16,True,SemanticVar
E2,5,when was the last amendment to the constitution passed,"May 5, 1992",I don't know. The context provided does not contain information about the constitution or its amendments.,answerable,False,0.011461218198140463,0.4039325227317338,0.011461218198140463,1.0,0.3461238613722436,abstain,False,fp16,True,SemanticVar
E2,6,when do you declare honors in contract bridge,any time after the auction,I don't know. The provided context does not contain information about contract bridge or declaring honors in contract bridge.,answerable,False,0.04653024673461914,0.35581524642548873,0.04653024673461914,1.0,0.35884664800985844,abstain,False,fp16,True,SemanticVar
E2,7,who was the president of pakistan during 1971 war,President Yahya Khan,I don't know. The provided context does not contain information about the president of Pakistan during the 1971 war.,answerable,False,0.002019047737121582,0.1865071351496803,0.002019047737121582,1.0,0.31966023738352883,abstain,False,fp16,True,SemanticVar
E2,8,the grand tour season 2 episode 2 celebrity guests,Brian Wilson,"I don't know. The context provided does not include information about celebrity guests in ""The Grand Tour Season 2 Episode 2"".",answerable,False,0.12274261315663655,0.3409712197683954,0.12274261315663655,1.0,0.3954684285551578,abstain,False,fp16,True,SemanticVar
E2,9,when was harry potter and the philosophers stone published,in 1997,I don't know. The provided context does not contain information about Harry Potter or its publication date.,answerable,False,0.14863747358322144,0.3173678483403028,0.14863747358322144,1.0,0.40605552162564096,abstain,False,fp16,True,SemanticVar
